,links,titulos
175,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/22/empresas-regulam-doacoes-eleitorais-de-funcionarios.htm,BBC Brasil
176,https://noticias.uol.com.br/ultimas-noticias/bbc/2018/04/22/os-48-politicos-investigados-na-lava-jato-que-perderao-foro-privilegiado-se-nao-se-reelegerem.htm," Com Lula preso, PT se reúne em Curitiba para planejar campanha de seu líder "
177,http://congressoemfoco.uol.com.br/noticias/eduardo-azeredo-pode-ser-preso-nesta-semana-na-esteira-de-denuncias-contra-aecio-e-alckmin/,do UOL
178,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/22/aborto-uniao-gay-e-eleicao-votos-no-stf-revelam-estilo-de-joaquim-barbosa.htm, Eleições criam rachas entre aliados históricos nos estados 
179,https://www1.folha.uol.com.br/poder/2018/04/eleitores-de-lula-nao-querem-plano-b-so-plano-l-e-apontam-falhas-na-esquerda.shtml,Folha.com - Brasil
180,https://www1.folha.uol.com.br/poder/2018/04/presidenciaveis-enfrentam-mais-de-160-investigacoes-em-tribunais-pelo-pais.shtml, PSL de Bolsonaro pede mais verba de fundo que quer extinguir 
181,http://painel.blogfolha.uol.com.br/?p=22103,Folha.com - Brasil
182,https://www1.folha.uol.com.br/colunas/andresinger/2018/04/ideia-fixa.shtml," Prisão de Lula impulsiona filiações, e PT lança campanha com o nome do petista "
183,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/21/entrevista-washington-olivetto.htm,Folha.com - Brasil
184,https://www1.folha.uol.com.br/poder/2018/04/candidatos-que-fizeram-campanha-presos-podem-abrir-precedente-para-lula.shtml, Indefinição no PT faz caciques do centrão no NE pregarem apoio a Ciro Gomes 
185,http://painel.blogfolha.uol.com.br/?p=22057,Folha.com - Brasil
186,https://www1.folha.uol.com.br/poder/2018/04/alckmin-monitora-namoro-entre-joao-doria-e-flavio-rocha.shtml, Bolsonaro critica PGR por denúncia de racismo em entrevista à Band 
187,https://www1.folha.uol.com.br/poder/2018/04/lutar-junto-com-pt-nao-tira-nossa-autonomia-diz-candidata-do-psol-em-sao-paulo.shtml,Estadão Conteúdo - Política
188,http://painel.blogfolha.uol.com.br/?p=22064, Medo de escândalos inibe doações de eleitores 
189,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/procuradoria-eleitoral-investiga-policia-do-ma-por-espionagem-de-opositores.htm,Estadão Conteúdo - Política
190,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910430&t=doria-diz-que-conversou-com-temer-sobre-quadro-eleitoral, Doria diz que conversou com Temer sobre quadro eleitoral 
191,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910409&t=marina-volta-a-sinalizar-que-nao-vai-compor-chapa-com-joaquim-barbosa,Band
192,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/20/marina-volta-a-sinalizar-que-nao-vai-compor-chapa-com-joaquim-barbosa.htm, Marina volta a sinalizar que não vai compor chapa com Joaquim Barbosa 
193,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/20/ministros-parlamentares-transferem-espolios-eleitorais.htm,Band
194,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/alckmin-diz-que-ve-investigacao-de-natureza-civil-com-tranquilidade.htm, Marina volta a sinalizar que não vai compor chapa com Joaquim Barbosa 
195,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/ministerio-publico-de-sp-abre-inquerito-contra-alckmin-por-improbidade.htm,Estadão Conteúdo - Política
196,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/filho-de-eduardo-campos-diz-que-nao-ha-veto-do-psb-pe-a-joaquim-barbosa.htm, Ministros-parlamentares transferem espólios eleitorais 
197,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000910331&t=ex-tucano-alvaro-dias-alianca-com-psdb-esta-totalmente-descartada,Estadão Conteúdo - Política
198,https://www1.folha.uol.com.br/poder/2018/04/ministerio-publico-abrira-inquerito-contra-alckmin-por-suspeita-de-improbidade.shtml, Alckmin diz que vê investigação 'de natureza civil com tranquilidade' 
199,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/geraldo-e-um-corredor-de-maratona-afirma-fhc.htm,Estadão Conteúdo - Política
200,https://www1.folha.uol.com.br/colunas/raquellandim/2018/04/marina-bolsonaro-e-barbosa-fazem-acenos-ao-mercado.shtml, Ministério Público de SP abre inquérito contra Alckmin por improbidade 
201,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/20/ex-tucano-alvaro-dias-diz-que-alianca-com-psdb-esta-totalmente-descartada.htm,Estadão Conteúdo - Política
202,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/04/20/pm-do-ma-espiona-liderancas-da-oposicao-que-podem-causar-embaracos-nas-eleicoes.htm, Filho de Eduardo Campos diz que não há veto do PSB-PE a Joaquim Barbosa 
203,https://www1.folha.uol.com.br/poder/2018/04/ciro-escolhe-pupilo-de-duda-como-marqueteiro.shtml,Estadão Conteúdo - Política
